PART NO,DESCRIPTION,MRP-Effective April 2022
00670153,PULLEY CRANKSHAFT,1972
00690073,RIVET_NAME_PLATE,11
00720564,SCREW TAPPET ADJUSTING P3,23
00720579,TAPPET ADJ SCREW,40
00720677,BOLT,30
00730030,SEAL TIMING CASE COVER P SERIES,80
00730155,SEAL OIL PUMP DRIVE SHAFT,31
00740203,SETSCREW,6
00740248,SETSCREW,5
00740826,SETSCREW FLYWHEEL TO CR SHAFT P3,32
00740837,SETSCREW FLY WHEEL TO CR SHAFT P3,18
00742201,SETSCREW P SERIES,9
00742204,SETSCREW,9
00742402,SETSCREW(ALT.PART NO.00742444) P SERIES,15
00742403,SETSCREW(ALT.NO.00742466),13
00742425,SETSCREW (00742419 CAN BE USED),5
00742427,SET SCREW REAR END COVER TO BLK/TACHO HSG.,5
00742601,SCREW,17
00745044,BOLT MAIN BRG CAP,61
00746254,SETSCREW/PLUG,18
00750001,SHAFT FUEL PUMP DRIVE,1068
00750002,SHAFT LUB OIL PUMP DRIVE TOP,232
00750003,SHAFT LOP INTERMEDIATE,165
00750106,SHAFT LUB OIL PUMP IDLER,264
00750141,SHAFT LUB OIL PUMP  DRIVE,220
00750142,SHAFT LUB OIL PUMP IDLER GEAR,200
00750143,shaft_rocker,660
00750144,SHAFT ROCKER,978
00750145,SHAFT LUB OILPUMP DRIVE GEAR,234
00750277,SHAFT_ROCKER,458
00780005,SPRING_ROCKER_SHAFT,21
00780006,SPRING_VALVE_OUTER,52
00780007,SPRING_VALVE_INNER,20
00780009,ROCKER_SHAFT_SPRING,21
00780067,SPRING_CAMSHAFT_THRUST,13
00780175,SPRING_ROCKER_SHAFT,18
00790001,SPROCKET CAMSHAFT P3,894
00790002,SPROCKET CRANKSHAFT P3,795
00790003,SPROCKET FUEL PUMP,987
00820008,STUD LUB OIL SUMP TO STRAINER COVER,10
00820042,STUD CYL HEAD WATER OUTLET CONNECTION,9
00820201,STUD,8
00820206,STUD 5/16 BSW X5/16 BSF,8
00820255,STUD CYL HEAD TO EXHAUST MANIFOLD,11
00820403,STUD-3/8 BSW (M.END X 3/8 BSF NUT END),15
00820430,STUD CYL BLOCK TO FLYWHEEL HSG,14
00820432,STUD ROCKER SHAFT BRACKET SHORT,17
00820433,STUD CYL HEAD TO CC CAP,14
00820437,STUD CYL BLOCK TO F I P CRADLE,16
00820443,STUD CYL HEAD TO VENTURI BODY,11
00820454,STUD TIMING CASE FRONT COVER TO WATER PUMP,14
00820607,STUD CYL.HD. SHORT P SERIES7/16BSWX3/4-7/16BSFX1-1/16,68
00860007,TAPPET,207
00860012,TAPPET,226
00870001,THIMBLE,20
00900043,SLEEVE WATER  OUTLET BY PASS BLANKING,157
00900132,TUBE VENTURI PITOT,35
00900133,AUXILIARY VENTURI,32
00910001,VALVE INLET,148
00910002,VALVE EXHAUST,180
00920002,WASHER,4
00920003,WASHER_PLAIN,4
00920004,WASHER_PLAIN,4
00920007,WASHER_PLAIN,8
00920009,WASHER_PLAIN,8
00920052,WASHER_SPRING,3
00920053,WASHER_SPRING,2
00920055,WASHER_SPRING,4
00920056,WASHER_SPRING,4
00920058,WASHER_SPRING,9
00920106,WASHER,10
00920122,WASHER,45
00920126,WASHER,8
00920154,WASHER,3
00920155,WASHER,3
00920156,WASHER,5
00920299,WASHER,3
00920308,WASHER CYL HEAD COVER NUT,4
00920443,WASHER,7
00920484,WASHER PLAIN,6
00920492,SPACER,21
00920501,WASHER BRG CAP TO CYL.BLOCK,9
00920516,WASHER,10
00920641,WASHER TAB-C/PULLEY RETG,23
00920645,WASHER_TAB,8
00920798,WASHER_TAB,5
00920883,WASHER_TAB,10
00921062,WASHER_TAB,15
00921087,WASHER TAB,6
00921173,WASHER ATOMISER RETG.,19
00921176,WASHER BANJO BOLT,7
00940154,PLATE ENGINE FRONT LIFTING,108
00940199,COVER PLATE EX.MANIFOLD FLANGE (2 HOLES),188
00940245,PLATE WATER PUMP MOUNTING,707
00940513,PLATE,25
00940737,PLATE_CYLINDER_HEAD_REAR,187
00940738,PLATE_IDLER_GEAR,43
00941183,PLATE_WATER_PUMP_BACK,133
00941203,PLATE CYL HEAD REAR END,138
00990448,PIPE F.I.NO.2 CYLINDER ASSEMBLY,177
00990449,PIPE FUEL INJECTION NO 3 CYLINDER,168
00990450,PIPE FUEL INJECTIO NO 4 CYLINDER,161
00990474,PIPE ASSY FUEL INJECTION NO 1 CYLINDER,210
00990646,GEAR ASSY,538
00990650,PIPE L O FILTER TO AUX DRIVE,124
00990714,PIPE_FUEL_PUMP_DRAIN,110
00990718,PIPE L.O.FILTER-PR.RAIL(WITH COMPRESSOR),471
00990719,PIPE L.O.FILTER -PR.RAIL(W/O.COMPRESSOR),369
00990743,GEAR,736
00990921,PIPE F.I.NO.3 CYLINDER ASSEMBLY,208
00991125,PIPE F.I.NO.1 CYLINDER ASSEMBLY,198
00991126,PIPE F.I.NO.2 CYLINDER ASSEMBLY,153
00994202,PIPE VENTURI TO FUEL PUMP GOVERNOR ASSY,287
00994685,PIPE ROCKERSHAFT ASSY,191
00995435,SLIDE BLOCK SPECIAL,282
00995436,SHORRRT SHANK (AUTO TENSIONER),311
00995447,HUB_IDLER_GEAR,437
02116053,PIN CAMSHAFT THRUST LOCATING,10
02116078,DOWEL,10
02182008,SETSCREW,12
02182122,SETSCREW,42
02185189,SCREW,36
02211156,NUT CON ROD,28
02233022,SCREW ROCKERSHAFT OIL FEED,10
02411151,WASHER,3
02411152,WASHER,3
02411153,WASHER,3
02411157,WASHER,3
02411158,WASHER,4
02411165,WR.IND.MANIFOLD PLUG,5
02414445,SEAL- FLYWHEEL HSG,886
02415343,SEAL TIMING CASE FRONT COVER,214
02415344,SEAL_OIL,341
02415503,SEAL AUX DRIVE SHAFT REAR,52
02415608,O_RING,21
02415713,RING L.O.DELIVERY PIPE,4
02415715,O-RING SUMP DRAIN PLUG SEALING,15
02415731,`O' RING LUB OIL FILLER CAP,20
02431131,PLUG,14
02431152,PLUG,53
02431153,PLUG,59
02431154,PLUG,35
02447375,ELBOW-CONNECTION,696
02481826,CLIP,50
02481877,CLIP HOSE,28
02485613,THERMOSTAT(1000 series),507
02487004,PLUG SUMP  DRAIN,41
02511425,BUSH ROCKER LEVER S440,104
02654408,FILTER_OIL,226
02658283,0.5 Litre Diesel Filter Kit (Cloth +Paper),193
02658285,0.5 Litre Diesel Filter Kit(Cloth & Star Filter),187
02658383,0.5 Litre Diesel Filter Kit (Paper Filter),226
02666103,HEATER INDUCTION,608
02666108,THERMOSTART(LUCAR CONNECTOR),619
02721130,CIRCLIP,8
2830411,"SCREW,HEX FLANGE HEAD CAP",9
2830730,"SCREW,HEX FLANGE HEAD CAP",26
02848062,SWITCH,240
3009329,"WASHER,PLAIN",9
3092799,"SCREW, HEX FLANGE HEAD CAP",18
3093730,"SCREW,HEX FLANGE HEAD CAP",9
3093805,"SCREW,HEX FLANGE HEAD CAP",16
3093828,"NUT,HEXAGON FLANGE",10
3093867,"NUT,REGULAR HEXAGON",7
3093920,"SCREW,HEX FLANGE HEAD CAP",5
3093922,"SCREW,HEX FLANGE HEAD CAP",7
3093923,"SCREW,HEX FLANGE HEAD CAP",8
3093926,"SCREW,HEX FLANGE HEAD CAP",9
3093927,"SCREW,HEX FLANGE HEAD CAP",14
3093931,"SCREW,HEX FLANGE HEAD CAP",11
3093932,"SCREW,HEX FLANGE HEAD CAP",14
3093939,"SCREW,HEX FLANGE HEAD CAP",19
3093974,"SCREW,HEX FLANGE HEAD CAP",59
3094339,"SEAL,O RING",235
3094472,"CONNECTOR,FEMALE",101
3328463,"SEAL,O RING",33
3335076,"WASHER,BEVEL",7
3645E003,BRACKET LUB OIL COOLER STAY,28
3678925,"SEAL,O RING",13
3681065,"SCREW,HEX FLANGE HEAD CAP",33
3892379,"SCREW,HEXAGON HEAD CAP",4
3900589,"NUT,HEXAGON FLANGE",7
3902460,"SCREW, HEX FLANGE HEAD CAP",15
3903652,"CLAMP,V BAND",308
3906619,"PLUG,PIPE",29
3915082,"CLAMP,HOSE",52
3915489,"HOSE,PLAIN",121
3918951,"CLAMP,V BAND",297
3918952,"SEAL,O RING",98
3922794,SEAL O RING,39
3923096,WASHER SEALING,38
3924148,"PLUG,THREADED",135
3925344,"SCREW,HEX FLANGE HEAD CAP",14
3925402,"SCREW,HEX FLANGE HEAD CAP",11
3925883,"SCREW,HEX FLANGE HEAD CAP",7
3932484,WASHER SEALING,18
3936583,"CLAMP,HOSE",44
3958958,"PIPE,AIR TRANSFER",733
4010021,"SCREW,HEX FLANGE HEAD CAP",7
4080720,"STRAINER,FUEL",204
4324881,"UNION,MALE",208
4903481,"SCREW,HEX FLANGE HEAD CAP",6
4944051,FLYWHEEL,8006
4944069,GEAR FLYWHEEL RING,1181
4944070,HOUSING FLYWHEEL M/C,4130
4944072,"GASKET,COVER PLATE",95
4944073,HOUSING FLYWHEEL,11325
4944096,"CAP,FILLER",51
4944097,"SPACER,MOUNTING",53
4944098,"BRACKET,ALTERNATOR",572
4944101,"BRACE,ALTERNATOR",99
4944102,"SPACER,MOUNTING",17
4944103,"SPACER,MOUNTING",17
4944104,"PULLEY,WATER PUMP",400
4944105,"COVER,ACCESS HOLE",469
4944155,"GASKET,CONNECTION",105
4944159,"ADAPTER,PILOT",1187
4944160,GEAR FLYWHEEL RING,1511
4944161,"PAN,OIL",10223
4944173,"SPACER,FAN PILOT",405
4944175,"GASKET,EXHAUST MANIFOLD",88
4944176,"CONNECTION,WATER OUTLET",163
4944178,"PLATE,CLAMPING",26
4944179,"PLATE,COVER",129
4944180,"HOUSING,POWER TAKEOFF",788
4944182,"ROD,PUSH",92
4944183,"LEVER,ROCKER",2841
4944196,"PAN,OIL",2070
4944199,"TUBE,LUB OIL SUCTION",280
4944204,"TUBE,LUB OIL SUCTION",1606
4944482,INJECTOR,8794
4944485,"TUBE,INJECTOR FUEL SUPPLY",18
4944486,"TUBE,INJECTOR FUEL SUPPLY",18
4944487,"TUBE,INJECTOR FUEL SUPPLY",18
4944563,DIPSTICK,1513
4945839,ALTERNATOR,62013
4945917,"PAN,OIL",5597
4945918,TUBE LUB OIL SUCTION,4538
4946283,"TUBE,TUR OIL SUPPLY",723
4982028,"PULLEY,CRANKSHAFT",9680
4982075,"LEAD,ELECTRICAL",84
4982076,"PLUG,GLOW",784
4982078,HEATER INTAKE AIR,6795
4982091,"BEARING,CONNECTING ROD",74
4982093,RING OIL PISTON,318
4982096,"SPACER,COOLER SUPPORT",48
4982101,SPACER MOUNTING,48
4982105,CLIP,52
4982109,"PISTON,ENGINE",1993
4982115,"SEAL,O RING",117
4982116,"RETAINER,ISOLATOR",59
4982117,"BLOCK,CYLINDER",85462
4982120,"CRANKSHAFT,ENGINE",31590
4982122,"WASHER,PLAIN",13
4982123,PIN GUIDE,15
4982124,PIN GUIDE,35
4982125,PIN ROLL,6
4982127,PLUG PIPE,75
4982128,PLUG EXPANSION,20
4982136,PLUG EXPANSION,38
4982137,DOWEL PIN,9
4982138,DOWEL PIN,33
4982139,"DOWEL,RING",24
4982140,CAP MAIN BEARING M/C,684
4982141,CAP MAIN BEARING M/C,684
4982144,"BEARING,MAIN",75
4982145,"BEARING,MAIN",83
4982149,"BEARING,THRUST",58
4982154,"TAPPET,VALVE",183
4982161,DOWEL PIN,11
4982182,"SEAL,GROMMET",29
4982184,"SEAL,O RING",1201
4982186,PIN PISTON,326
4982188,"RING,RETAINING",30
4982189,"BEARING,BALL",506
4982190,"PLATE,CLAMPING",43
4982193,PLATE COVER,2805
4982194,"GEAR,IDLER",1855
4982195,"SHAFT,IDLER",447
4982196,"SHAFT,IDLER",460
4982197,"WASHER,PLAIN",194
4982198,"GASKET,GEAR COVER",72
4982204,"HOSE,PLAIN",32
4982205,"HOSE,PLAIN",105
4982206,"TUBE,AIR INLET",183
4982218,"GASKET,WATER PUMP",48
4982223,"COLLAR,SHAFT",521
4982225,"PLATE,CLAMPING",147
4982227,GASKET WTR TRF CONNECTION,114
4982228,ALTERNATOR,29446
4982229,ALTERNATOR,10153
4982230,ALTERNATOR,30990
4982234,"PLATE,CLAMPING",84
4982241,"SPACER,MOUNTING",27
4982244,"SPACER,MOUNTING",21
4982245,"PLATE,PIVOT",82
4982246,"SPACER,MOUNTING",19
4982253,RING COMPRESSION PISTON,152
4982262,"HOSE,PLAIN",27
4982263,"CONNECTOR,BANJO",69
4982270,CLIP,40
4982277,CLIP,16
4982283,"SPACER,MOUNTING",174
4982285,"HOSE,FLEXIBLE",303
4982286,"BRACKET,FILTER",733
4982305,"SCREW,BANJO CONNECTOR",26
4982317,CLIP,16
4982318,"SPACER,MOUNTING",35
4982319,"COUPLING,PLAIN HOSE",105
4982320,"HOSE,PLAIN",35
4982322,"CONNECTION,FUEL TRANSFER",154
4982323,"TUBE,FUEL TRANSFER",66
4982324,"CAP,TUBE",38
4982325,"HOSE,PLAIN",51
4982326,"HOSE,PLAIN",75
4982327,"HOSE,PLAIN",84
4982338,CLIP,16
4982339,"CONNECTOR,BANJO",75
4982340,"CONNECTOR,BANJO",148
4982341,"SCREW,BANJO CONNECTOR",41
4982357,"BEARING,ROLLER",2143
4982358,"BEARING,BALL",1383
4982370,"SCREW,TWELVE POINT CAP",24
4982374,"PLUG,PIPE",86
4982375,"PLUG,EXPANSION",5
4982392,FLYWHEEL,12286
4982400,"WASHER,PLAIN",9
4982401,ADAPTER PILOT,1228
4982437,"WASHER,PLAIN",15
4982442,"CONNECTION, AIR INTAKE",505
4982444,"SUPPORT,FUEL PUMP",555
4982448,STUD,16
4982450,"WASHER,PLAIN",7
4982451,"SEAL,O RING",484
4982453,"BRACE,FUEL PUMP",28
4982454,"SCREW,HEX FLANGE HEAD CAP",8
4982455,BRACE FUEL PUMP,613
4982461,"SCREW,HEX FLANGE HEAD CAP",19
4982462,PLUG EXPANSION,6
4982463,"COVER,FRONT",2161
4982464,"COVER,ACCESSORY DRIVE",335
4982466,"PIN,TIMING",19
4982499,BALL BEARING,648
4982500,"SEAL,O RING",240
4982501,BALL BEARING,593
4982507,"CONNECTION,AIR INTAKE",695
4982508,"CONNECTION,AIR INTAKE",1436
4982510,"CONNECTION,AIR INTAKE",1567
4982518,MANIFOLD AIR INTAKE M/C,4453
4982525,"BRACKET,LIFTING",168
4982526,"BRACKET,LIFTING",147
4982558,"HEAD,CYLINDER",41707
4982559,"PLUG,EXPANSION",14
4982561,"CAP,FILLER",182
4982563,"GASKET,OIL DRAIN",8
4982564,"TUBE,OIL FILLER",673
4982565,"TUBE,OIL FILLER",571
4982569,"WASHER,PLAIN",9
4982577,"SCREW,STUDDED FLANGE CAP",28
4982581,"NIPPLE,COUPLING",74
4982583,"SPACER,MOUNTING",194
4982584,"SPACER,FAN",768
4982592,"GASKET,EXHAUST MANIFOLD",29
4982595,"CONNECTION,WATER OUTLET",327
4982622,CLIP,40
4982624,"PLUG,EXPANSION",11
4982625,"HOSE,PLAIN",50
4982626,"COLLAR,TUBE SUPPORT",18
4982627,ELEMENT LUB OIL FILTER,906
4982628,"NIPPLE,COUPLING",151
4982629,"HOSE,FLEXIBLE",92
4982630,"HOSE,FLEXIBLE",87
4982634,"TUBE,COUPLING",114
4982635,"COUPLING,PLAIN HOSE",171
4982636,"HOSE,ELBOW",71
4982637,"HOSE,PLAIN",85
4982639,"COOLER,OIL",4424
4982640,"COUPLING,PLAIN HOSE",432
4982651,"SCREW,HEX FLANGE HEAD C",5
4982655,"CLAMP,RETAINING",32
4982656,"COLLAR,TUBE",65
4982657,"NUT,REGULAR HEXAGON",47
4982660,"TUBE,OIL GAUGE",105
4982661,"TUBE,OIL GAUGE",219
4982663,"TUBE,OIL GAUGE",99
4982664,"BRACE,TUBE",64
4982682,"COVER,LUB OIL PUMP",1595
4982684,"SPACER,MOUNTING",28
4982843,PLUG PIPE,49
4982846,GUIDE VALVE,68
4982847,SEAT ENGINE INTAKE VALVE,197
4982864,"GASKET,INJECTOR",14
4982865,"SEAL,INJECTOR",7
4982869,"SPACER,INJECTOR BARREL",60
4982870,"GASKET,INJECTOR",6
4982874,KEY PLAIN WOODRUFF,20
4982880,"CLAMP,INJECTOR",204
4982881,"WASHER,BEVEL",33
