PART NO,DESCRIPTION,MRP-Effective April 2022
99S31177,PIPE_FEED_PUMP,102
99S31178,LUB_OIL_FILLER_ASSEMBLY,357
99S31180,PIPE ASSEMBLY FILTER TO FUEL PUMP,226
99S31183,CYLINDER HEAD COVER ASSEMBLY,273
99S31203,FLYWHEEL_ASSEMBLY,24968
99S31205,FLYWHEEL AND STARTER RING ASSY(EICHER DUAL CLUTCH)(40S30248+00410236),23966
99S31214,LUB_OIL_FILLER_ASSEMBLY,624
99S31220,PIPE_LUB_OIL_SUCTION,510
99S31221,PIPE ASSY. FEED PUMP TO FILTER,429
99S31222,PIPE ASSY.FILTER TO FUEL PUMP,345
99S31243,BLOCK_CYLINDER_ASSEMBLY,60615
99S31244,ROCKER_SHAFT_ASSEMBLY,2832
99S31252,ROD_ENGINE_CONNECTING_ASSEMBLY,2275
99S31266,BLOCK_CYLINDER_ASSEMBLY,56390
99S31267,ASSY.FLEXIBLE PIPE ATOMISER OVERFLOW TO FIP OVERFLOW,107
99S31277,PIPE_LUB_OIL_SUCTION,524
99S31282,PIPE_FEED_PUMP_TO_FUEL_FILTER,543
99S31283,PIPE_FUEL_FILTER_TO_FUEL_INJECTION_PUMP,515
99S31284,ASSY.WATER PUMP,3756
99S31288,BLOCK_CYLINDER_ASSEMBLY,57730
99S31317,BLOCK_CYLINDER_ASSEMBLY,60988
99S31318,BLOCK_CYLINDER_ASSEMBLY,58245
99S31321,TIMING CASE COVER ASSEMBLY (24S30126 - COVER) - LIVE HYDRAULICS,3457
99S31351,PISTON ASSEMBLY,2231
99S31359,PIPE ASSEMBLY FEED PUMP TO FILTER INLET(S325 CUMMINS),417
99S31360,PIPE ASSEMBLY FUEL FILTER OUTLET TO FUEL PUMP INLET(S325 CUMMINS),297
99S31377,PIPE_LUB_OIL_SUCTION,524
99S31396,PIPE_LEAK_OFF_ASSEMBLY,258
99S31403,PIPE ATOMISER LEAK OFF RETURN TO FIP ASSEMBLY,134
99S31404,PIPE ASSY -LEAK OFF RETURN TO FIP PIPE,122
99S31419,WATER PUMP ASSEMBLY FOR TIII APPLICATION,3792
99S31429,PIPE_LUB_OIL_SUCTION,503
99S31433,FLYWHEEL_ASSEMBLY,11876
99S31435,BLOCK_CYLINDER_ASSEMBLY,56938
99S31443,CRANKSHAFT_ENGINE_ASSEMBLY,24253
99S31445,CYLINDER HEAD MAJOR - S 3 - P TYPE HEAD,21676
99S31484,WATER PUMP ASSEMBLY,3247
99S31486,LUB_OIL_FILLER_ASSEMBLY,338
99S31492,DIPSTICK ASSEMBLY(DIPSTICK+DUST CAP)-32S30049+15SG3007,142
99S31493,PIPE_PRE_FILTER,376
99S31497,ASSEMBLY WATER PUMP,4062
99S31500,ASSY.CYLINDER BLOCK,56202
99S31507,PIPE FUEL INJECTION ASSY.CYL:1-DELPHI ROTARY PUMP,326
99S31508,PIPE FUEL INJECTION ASSY.CYL:2-DELPHI ROTARY PUMP,326
99S31509,PIPE FUEL INJECTION ASSY.CYL:3-DELPHI ROTARY PUMP,326
99S31511,COVER_TIMING_CASE_ASSEMBLY,3276
99S31526,FLYWHEEL AND STARTER RING ASSY. - (40S30275+00410236),13689
99S31527,ASSY. LUB.OIL FILLER,326
99S31540,CAP_LUB_OIL_FILLER_ASSEMBLY,83
99S31550,LUB_OIL_FILLER_ASSEMBLY,632
99S31552,"PIPE F.I NO.1 (13? SPILL),ALT NO(99S31073-15? SPILL)",244
99S31553,"PIPE F.I. NO.2 (13? SPILL),ALT NO:99S31074(15? SPILL)",244
99S31554,"PIPE F.I.NO.3(13? SPILL),ALT NO:99S31075(15? SPILL)",244
99S31555,PIPE_FUEL_INJECTOR_1,279
99S31556,PIPE_FUEL_INJECTOR_2,279
99S31557,PIPE_FUEL_INJECTOR_3,279
99S31575,PUMP_WATER_ASSEMBLY,4068
99S31579,TENSIONER_ASSEMBLY,2309
99S31580,PIPE_LUB_OIL_PRESSURE_RAIL_TO_CAM_CHAMBER,172
99S31587,FLYWHEEL_ASSEMBLY,11880
99S31594,KIT-HIGH PRESSURE PIPE ASSY-(99S31073/74/75),654
99S31605,ASSY-GEAR IDLER(STEEL WITH BUSH),7274
99S31611,FLYWHEEL AND RING ASSY(40S30298+00410236)TMTL-(DUAL CLUTCH),23936
99S31616,ASSY.PIPE  P.C..V.,335
99S31618,PIPE_LEAK_OFF_ASSEMBLY,328
99S31620,PIPE-FUEL PUMP OVER FLOW,184
99S31622,HIGH PRESSURE PIPE ASSY KIT (INCLUDES 99S31555+99S31556+99S31557) FOR S325.1 ENGINE TO LIST NO.1602,770
99S31645,COVER_TIMING_CASE_ASSEMBLY,2768
99S31653,BLOCK_CYLINDER_ASSEMBLY,51368
99S31658,TUBE_DIPSTICK,162
99S31664,HIGH PRESSURE PIPE NO.1 CYLINDER,284
99S31665,HIGH PRESSURE PIPE NO.2 CYLINDER,284
99S31666,HIGH PRESSURE PIPE NO.3 CYLINDER,284
99S31671,HIGH PRESSURE PIPE NO.1 CYLINDER(T III A S324 -ITL ),246
99S31672,HIGH PRESSURE PIPE NO.2 CYLINDER(T III A S324 -ITL ),246
99S31673,HIGH PRESSURE PIPE NO.3 CYLINDER(T III A S324 -ITL ),246
99S31674,CYLINDER BLOCK(28S30078) ASSY FOR TMTL(DELPHI F.I.P SUPPORT BKT PROVISION),66497
99S31693,JOINTS AND GASKETS - BOTTOM OVERHAUL KIT TO LIST NO.1289 FOR CUMMINS,677
99S31694,JOINTS AND GASKETS -MAJOR KIT(TO LIST NO. 1289 FOR CUMMINS),1836
99S31705,FLYWHEEL_ASSEMBLY,26585
99S31707,PIPE_FUEL_INJECTOR_1,341
99S31708,PIPE_FUEL_INJECTOR_2,341
99S31709,PIPE_FUEL_INJECTOR_3,341
99S31711,"JOINTS AND GASKET TOP OVER HAUL KIT ( INCLUDES 1 - 5 ,13,17&23)",1140
99S31712,JOINTS AND GASKETS MAJOR KIT (INCLUDES 1 TO24),2050
99S31713,"JOINTS AND GASKETS BOTTOM OVERHAUL KIT (6 TO12,14,15,16,18,19,20-22,24)",2077
99S31717,"CYLINDER HEAD ASSY - MAJOR FOR S325 ENGINE TO LIST NO:3206 CON:HEAD(3004),PLATE(0737),VALVE INLET&EXHAUST(1681&1011),GUIDE(1727),SEAL(0016),CAP(0008)&COTTER(0001)",26891
99S31722,"JOINTS AND GASKETS - TOP OVERHAUL KIT(1 TO 5,13,17&23)",1137
99S31723,JOINTS AND GASKETS MAJOR KIT (INCLUDES 1 TO 24),1969
99S31726,BREATHER_ASSEMBLY,1485
99S31727,COVER_TIMING_CASE_ASSEMBLY,2815
99S31737,PIPE_FUEL_INJECTOR_1,279
99S31738,PIPE_FUEL_INJECTOR_2,279
99S31739,PIPE_FUEL_INJECTOR_3,279
99S31742,PIPE ASSY LUB.OIL CAM CHAMBER TO CY HEAD,148
99S31743,PIPE_FUEL_INJECTOR_1,281
99S31744,PIPE_FUEL_INJECTOR_2,281
99S31745,PIPE_FUEL_INJECTOR_3,281
99S31746,CYLINDER BLOCK ASSEMBLY(CYL.BLOCK:28S30085),60615
99S31747,CYLINDER BLOCK ASSEMBLY(CYL.BLOCK:28S30086),60615
99S31748,CYLINDER BLOCK ASSEMBLY(CYL.BLOCK:28S30087),83045
99S31760,TIMING CASE COVER ASSY,2687
99S31769,ASSY TIMING CASE COVER,3036
99S31784,HAND PRIMER WITH SEDIMENT BOWL,1486
99S31785,PIPE_BREATHER_TO_AIR_FILTER,443
99S31792,COVER_TIMING_CASE_ASSEMBLY,3068
99S31804,PIPE_LUB_OIL_PRESSURE_RAIL_TO_CAM_CHAMBER,263
99S31808,BLOCK_CYLINDER_ASSEMBLY,75325
99S31812,PIPE_FUEL_INJECTOR_1,330
99S31813,PIPE_FUEL_INJECTOR_2,330
99S31814,PIPE_FUEL_INJECTOR_3,330
99S31822,"JOINTS&GASKETS FOR TOP KIT TO S325 ENGINE-(INCLUDES-1 TO 5,14,18&21)",1137
99S31857,PUMP_WATER_ASSEMBLY,3678
99S31862,PUMP_WATER_ASSEMBLY,3910
99S31863,PUMP_WATER_ASSEMBLY(ALT PART -2163),3855
99S31864,WATER PUMP ASSY (BASE WATER PUMP PT.NO.99S31484),3218
99S31867,PIPE_FUEL_INJECTOR_1,279
99S31868,PIPE_FUEL_INJECTOR_2,279
99S31869,PIPE_FUEL_INJECTOR_3,279
99S31870,CRANKSHAFT INTEGRATED REAR END OIL SEAL,1180
99S31881,"JOINTS&GASKET TOP KIT FOR S325 ENGINE (INCLUDES-1 TO 4,14,18&21) TO LIST NO.3243",1124
99S31883,JOINTS&GASKET MAJOR KIT FOR S325 ENGINE (INCLUDES-1 TO 24) TO LIST NO.3243,2118
99S31886,WATER PUMP ASSY (1:1 RATIO),3802
99S31887,CYLINDER BLOCK ASSY -S327,55841
99S31908,WATER PUMP ASSEMBLY WITH COSMETIC PORT AND SPOUT MACHINED ( DISABLED PT.NO.99S30799 ),3230
99S31913,HIGH PRESSURE PIPE KIT TO SAME S325E ENGINE INCLUDES-(99S31743+99S31744+99S31745),615
99S31927,LUB OIL SUCTION PIPE ASSY,600
99S31938,FLYWHEEL_ASSEMBLY,11913
99S31943,LUB OIL FILLER,572
99S31944,JOINTS&GASKETS MAJOR KIT FOR S324 ENGINE (INCLUDES-1 TO 24) TO LIST NO.4116,2082
99S31946,HIGH PRESSURE PIPE ASSEMBLY KIT FOR S324 ENGINE (INCLUDES:-99S31707+99S31708+99S31709) TO LIST NO.4116,1002
99S31952,BREATHER_ASSEMBLY,1035
99S31956,"CYLINDER HEAD ASSY - MAJOR FOR S327 ENGINE TO LIST NO:1964 CON:HEAD(29S30035),PLATE(0737),VALVE INLET&EXHAUST(1681&1011),GUIDE(1727),SEAL(0016),CAP(0008)&COTTER(0001)",25286
99S31957,JOINTS&GASKET MAJOR KIT FOR S327 ENGINE TO LIST NO.1964,2688
99S31960,HIGH PRESSURE PIPE ASSY KIT (INCLUDES - 99S31919+99S31920+99S31921+02182008+36511123+00571350+36844116) FOR S327 ENGINE TO LIST NO.1964-TAFE.,947
99S31961,JOINTS&GASKET MAJOR KIT FOR S325.1 ENGINE TO LIST NO.1810,1912
99S31962,JOINTS&GASKET TOP KIT FOR S327 ENGINE TO LIST NO.1964,1911
99S31963,FLYWHEEL ASSEMBLY (FLYWHEEL 40S30321+ RING GEAR 0410236),13843
99S31965,HIGH PRESSURE PIPE KIT TO S325E ENGINE INCLUDES-(99S31507/08/09),960
99S31967,CYLINDER BLOCK ASSEMBLY,60432
99S31968,CYLINDER BLOCK ASSEMBLY,51592
99S31973,COVER_TIMING_CASE_ASSEMBLY,2879
99S31983,"PISTON ASSEMBLY LFR - X 11 FOR S327 ENGINE TO LIST NO.4117,4130,1964,4103&3250.",2485
99S31984,PISTON RINGS ASSEMBLY LFR - X11 FOR S327 ENGINE .EN,719
99S31986,HIGH PRESSURE PIPE 1,265
99S31987,HIGH PRESSURE PIPE 2,265
99S31988,HIGH PRESSURE PIPE 3,265
99S31990,BREATHER PIPE,298
99S32013,JOINTS&GASKET MAJOR KIT FOR T III S325 ENGINE (INCLUDES-1 TO 21) TO LIST NO.3255,2109
99S32014,"JOINTS&GASKET TOP KIT FOR T III S325 ENGINE (INCLUDES-1 TO 5,10,16&19) TO LIST NO.3255",893
99S32015,JOINTS&GASKETS MAJOR KIT FOR S325 ENGINE (INCLUDES-1 TO 23) TO LIST NO.3226,2166
99S32016,"JOINTS&GASKET TOP KIT FOR S325 ENGINE (INCLUDES-1 TO 5,10,17&20) TO LIST NO.3226",1207
99S32017,JOINTS&GASKETS MAJOR KIT FOR S3 ENGINE (INCLUDES-1 TO 22) TO LIST NO.4145,2076
99S32018,"JOINTS&GASKET TOP KIT FOR T III A S3 ENGINE (INCLUDES-1 TO 5,10,17&20) TO LIST NO.4145",1027
99S32020,JOINTS&GASKETS MAJOR KIT FOR T III A S325.5 ENGINE (INCLUDES-1 TO 22) TO LIST NO.4149,2717
99S32032,BREATHER_ASSEMBLY,1770
99S32033,CYLINDER_HEAD_SUBASSEMBLY,13599
99S32034,CYLINDER_HEAD_SUBASSEMBLY,19677
99S32035,LUB_OIL_FILLER_ASSEMBLY,509
99S32047,CLAMP_ASSEMBLY,45
99S32051,LUB_OIL_FILLER_ASSEMBLY,430
99S32053,PIPE_FUEL_INJECTOR_1,250
99S32054,PIPE_FUEL_INJECTOR_2,250
99S32055,PIPE_FUEL_INJECTOR_3,250
99S32068,BREATHER_ASSEMBLY,1284
99S32074,BREATHER_ASSEMBLY,794
99S32087,PIPE_ASSEMBLY,456
99S32091,BRACKET_BREATHER,138
99S32099,FLYWHEEL_ASSEMBLY,12494
99S32108,COVER_TIMING_CASE_ASSEMBLY,2796
99S32109,BRACKET_ALTERNATOR_ASSEMBLY,1062
99S32111,FLYWHEEL_ASSEMBLY,13750
99S32115,JOINTS&GASKETS MAJOR KIT FOR S327 ENGINE (INCLUDES-1 TO 22) TO LIST NO.4117,2614
99S32120,HIGH PRESSURE PIPE KIT TO S325 ENGINE INCLUDES-(99S31812+99S31813+99S31814),730
99S32121,HIGH PRESSURE PIPE KIT TO S325 ENGINE INCLUDES-(99S32080 + 99S32081+ 99S32082),943
99S32122,JOINTS&GASKET MAJOR KIT FOR TREM III A S324 ENGINE TO LIST NO.1891,2086
99S32123,PIPE_PRE_FILTER,228
99S32125,CYLINDER_BLOCK_ASSEMBLY,66656
99S32129,HIGH PRESSURE PIPE KIT TO S325.5 ENGINE INCLUDES-(99S31986+99S31987+99S31988) TO LIST NO.4188,827
99S32163,PUMP_WATER_ASSEMBLY,4200
99S32171,GEAR_IDLER_ASSEMBLY,660
99S32172,PUMP_OIL_LUBRICATING_ASSEMBLY,3453
99S32189,WATER_PUMP_ASSEMBLY,4485
99S32190,WATER_PUMP_ASSEMBLY,4106
99S32191,BLOCK_CYLINDER_ASSEMBLY,58363
99S3479S,BLOCK_CYLINDER_SEMIFINISHED,46000
99S3610A,PISTON,1451
99S3611A,RING SET,455
99S3876C,OIL FILLER CAP WITHOUT CHAIN,78
99S41720,"CYLINDER HEAD ASSY - MAJOR KIT (CYL HEAD(4009),PLUG,GUIDE EXHAUST&INLET VALVE(3002),INLET&EXHAUST VALVE(3003&3004),SPRING EXHAUST&INLET VALVE(3001),VALVE STEM,WASHER,CAP(0008),COTTER&SPRING(3115))FOR TSJ436 ENGINE TO LIST NO:7046",45118
99S41778,JOINTS & GASKETS - MAJOR KIT (INCLUDES 1 TO 21) FOR S440 ENGINES,3624
99S41779,"JOINTS & GASKETS - MINOR KIT (INCLUDES 1 TO 8,20&21) FOR S440 ENGINES",1856
99SG3002,PISTON ASSEMBLY SJ327,2908
99SG3002/3,PISTON ASSEMBLY - ENGINE SET,8721
99SG3003,PISTON RINGS ASSEMNBLY SJ327/SJ436/TSJ436,698
99SG3003/3,PISTON RINGS ASSEMNBLY (ENGINE SET),2093
99SG3008,CYLINDER BLOCK ASSEMBLY FOR SJ327 ENGINE,70801
99SG3009,PIPE_FUEL_INJECTOR_1,336
99SG3010,PIPE_FUEL_INJECTOR_2,336
99SG3011,PIPE_FUEL_INJECTOR_3,336
99SG3012,PIPE FUEL OIL MAIN LEAK OFF ASSEMBLY,219
99SG3016,PISTON ASSEMBLY SJ325,2684
99SG3017,PISTON RINGS ASSEMBLY SJ325/S325/S433 TR IIIA,615
99SG3017/3,RINGS ASSEMBLY(ENGINE SET),1845
99SG3017/4,RINGS ASSEMBLY-SET OF 4,2460
99SG3020,ROCKER_SHAFT_ASSEMBLY,4349
99SG3022,ROCKER_LEVER_ASSEMBLY,377
99SG3025,CYLIDER BLOCK ASSEMBLY-SJ325,77761
99SG3028,PIPE_LUB_OIL_SEPERATOR,173
99SG3032,CYLINDER HEAD ASSEMBLY MINOR KIT,29550
99SG3037,BREATHER_ASSEMBLY,1234
99SG3039,PIPE IDLER GEAR/TIMER OIL FEED ASSY.,154
99SG3041,CAMSHAFT ASSEMBLY WITH TACHO DRIVE PIN,2816
99SG3042,PIPE_LUB_OIL_PRESSURE_RAIL_TO_FUEL_INJECTION_PUMP,191
99SG3046,FLYWHEEL & STARTER RING ASSY.(40SG3001+00410236),20057
99SG3048,PIPE_FUEL_INJECTOR_1,369
99SG3049,PIPE_FUEL_INJECTOR_2,372
99SG3050,PIPE_FUEL_INJECTOR_3,369
99SG3051,WATER PUMP ASSY.WITH IMPROVED FLOW ( SUPPLIER ALLENA),3965
99SG3052,ASSY.LUB.OIL FILLER ( TAFE ),213
99SG3062,PUMP_LUBRICATING_OIL,3970
99SG3070,COVER_VALVE_ASSEMBLY,1307
99SG3070A,CYL.HEAD COVER ASSY WITH JOINT SJ3,1682
99SG3073,BLOCK_CYLINDER_ASSEMBLY,70801
99SG3075,PIPE ASSEMBLY ADAPTOR TO FIP OVERFLOW,63
99SG3076,PIPE ASSEMBLY FUEL INJECTOR TO TANK,317
99SG3077,PIPE ASSY-MAIN LEAK OFF,219
99SG3082,BLOCK_CYLINDER_ASSEMBLY,74147
99SG3083,PIPE_FUEL_INJECTOR_1,484
99SG3084,PIPE_FUEL_INJECTOR_2,486
99SG3085,PIPE _FUEL_INJECTOR_3,490
99SG3086,PIPE,117
99SG3087,PIPE FUEL PUMP RETURN,179
99SG3095,PIPE,231
99SG3099,PIPE ASSEMBLY MAIN LEAK OFF,231
99SG3113,PIPE_LEAK_OFF,262
99SG3114,PIPE FIP OVERFLOW,112
99SG3116,PUMP_WATER_ASSEMBLY,3776
99SG3118,PIPE_FEED_PUMP_TO_FUEL_FILTER,533
99SG3119,PIPE ASSEMBLY FILTER TO FIP INLET,501
99SG3123,CYLINDER HEAD ASSEMBLY - SJ325 ENGINE,29207
99SG3134,PIPE_PRE_FILTER,192
99SG3144,LUB_OIL_FILLER_ASSEMBLY,368
99SG3145,COVER_TIMING_CASE_ASSEMBLY,3437
99SG3146,ASS.T/COVER(GDC-24SG3015)-ALT.NO:99SG3145(PDC-24SG3022),3473
99SG3147,LUB_OIL_FILLER_ASSEMBLY,398
99SG3149,ASSY.CYLINDER BLOCK,62835
99SG3150,ASSY.CYLINDER BLOCK-SJ,61852
99SG3169,PIPE ASSY. - TURBO OIL DRAIN,702
99SG3171,PIPE ASSY. - TURBOCHARGER OIL FEED,530
99SG3172,PIPE ASSY-TURBOCHARGER OIL DRAIN TO SUMP,226
99SG3204,LUB OIL FILLER ASSY,401
99SG3205,HIGH PRESSURE PIPE ASSY KIT (INCLUDES 99SG3048+99SG3049+99SG3050) FOR SJ325/SJ327 ENGINE TO LIST NO.7027,832
99SG3206,JOINTS & GASKETS - TOP OVERHAUL KIT FOR SJ325 ENGINES TO LIST NO.7027,1190
99SG3207,JOINTS & GASKETS - BOTTOM OVERHAUL KIT FOR SJ325 ENGINES TO LIST NO.7027,539
99SG3208,JOINTS & GASKETS - MAJOR OVERHAUL KIT FOR SJ325 ENGINES TO LIST NO.7027,1724
99SG3209,HIGH PRESSURE PIPE ASSY KIT (INCLUDES 99SG3083+99SG3084+99SG3085) FOR SJ327E TO LIST NOS.7039 / 7043,1032
99SG3217,COVER_TIMING_CASE_ASSEMBLY,3438
99SG3228,JOINTS & GASKETS BOTTOM OVERHAUL KIT TO LIST NO.7037,1239
99SG3229,JOINTS & GASKETS OVERHAUL MAJOR KIT (INCLUDES 99SG3206 & 99SG3228) TO LIST NO.7037,2213
99SG3236,WATER PUMP ASSY (EFF PULLEY DIA 127MM),3965
99SG3239,ROD_ENGINE_CONNECTING_ASSEMBLY,2545
99SG3240,PIPE_BREATHER_TO_AIR FILTER,140
99SG3242,WATER PUMP ASSY -  PULLEY RATIO ( 1;1.57) (SK004938),6447
99SG3245,PIPE ASSY TURBO OIL DRAIN PIPE (TO SUIT 54SG3031 MANIFOLD ROUTING -LIST NO:1890),642
99SG3246,PIPE_TURBO_CHARGER_OIL_FEED,460
99SG3247,MOTORIZED_EGR,13494
99SG3248,COOLER_EXHAUST_GAS_RECIRCULATOR,19483
99SG3249,PIPE,216
99SG3253,PIPE_COMMON_RAIL_1,888
99SG3254,PIPE_COMMON_RAIL_2,888
99SG3259,PIPE_LDA,112
99SG3260,L.O.PUMP ASSY,25032
99SG3265,PIPE_COMMON_RAIL_TO_INJECTOR_1,750
99SG3266,PIPE_COMMON_RAIL_TO_INJECTOR_2,750
99SG3267,PIPE_COMMON_RAIL_TO_INJECTOR_3,750
99SG3268,JOINTS AND GASKET MAJOR KIT INCLUDES (1-27),2704
99SG3269,"JOINT AND GASKET TOP OVERHAUL KIT INCLUDES (1-5,11,12,22-24)",1520
99SG3270,"JOINTS AND GASKETS BOTTOM OVERHAUL KIT INCLUDES (6-10,13-21,25,26,27)",884
99SG3271,PIPE_LUB_OIL_DELIVERY,612
99SG3275,PIPE_LUB_OIL_SUCTION,515
99SG3279,"CYLINDER HEAD - MAJOR KIT (CONSITS OF CYLINDER HEAD, PLUG,VALVE INLET&EXHAUST,GUIDE EXHAUST & INLET,SEAL,SPRING INLET & EXHAUST,CAPVALVE& COTTER VALVE) FOR TSJ327 E ENGINE TO LIST NO:7069",34052
99SG3281,PIPE_TURBO_CHARGER_OIL_FEED,238
99SG3286,IDLER GEAR ASSY (LOWER),11088
99SG3287,ASSY CAMSHAFT GEAR WITH SENSOR PIN,14806
99SG3288,PIPE_FUEL_INJECTION_PUMP_OVERFLOW,3650
99SG3293,BLOCK_CYLINDER_ASSEMBLY,65268
99SG3309,"CYLINDER HEAD MAJOR KIT- FOR TSJ436 TO LIST NO.7068 (CONSISTS OF CYLINDER HEAD,PLATE,VALVE INLET&EXHAUST,GUIDE VALVE,SEAL,SPRING INLET&EXHAUST,CAP VALVE,CUTTER VALVE SPRING)",43427
99SG3311,FLYWEEL AND STARTER RING ASSY FOR SJV326,19208
99SG3317,JOINTS&GASKETS FOR MAJOR KIT(INCLUDES 1 TO 26),2392
99SG3333,ASSY IDLER GEAR (UPPER),11088
99SG3335,PIPE_FUEL_INJECTOR_1,335
99SG3336,PIPE_FUEL_INJECTOR_2,335
99SG3337,PIPE_FUEL_INJECTOR_3,320
99SG3346,DAMPER ASSY-INLET MANIFOLD,2874
99SG3357,WATER PUMP ASSY,3041
99SG3363,PIPE_TURBO_CHARGER_OIL_DRAIN,870
99SG3364,PIPE_TURBO_CHARGER_OIL_FEED,658
99SG3367,CAMSHAFT_ASSEMBLY,3544
99SG3380,"JOINTS & GASKETS FOR SUMP KIT (INCLUDES - 7,16&17) TO TSJ436 ENGINE",192
99SG3381,"JOINTS & GASKETS FOR MINOR KIT (INCLUDES - 1 TO 5,8,10,11,13,21,23,24&25) TO TSJ436 ENGINE",2300
99SG3382,JOINTS & GASKETS FOR MAJOR KIT (INCLUDES - 1 TO 25) TO TSJ436 ENGINE,3184
99SG3383,PIPE_TURBO_CHARGER OIL DRAIN,808
99SG3384,PIPE ASSY TC OIL DRAIN-(FOR TOP TURBO),863
99SG3387,COVER_VALVE,1333
99SG3388,WATER PUMP ASSY (1:1.3 RATIO),6468
99SG3392,CYLINDER BLOCK ASSY,56925
99SG3399,FLYWHEEL_ASSEMBLY,15664
99SG3400,PIPE_LUB_OIL_PRESSURE_RAIL_TO_FUEL_INJECTION_PUMP,447
99SG3402,LUB OIL SUCTION PIPE ASSY,384
99SG3410,"CYLINDER HEAD- MINOR KIT (CONSISTS OF CYLINDER HEAD,PLUG,GUIDE INLET&EXHAUST) FOR-TSJ436 TO LIST NO.7068",37025
99SG3411,FLYWHEEL & RING ASSY,14584
99SG3412,ROCKER_SHAFT_ASSEMBLY,4350
99SG3413,ASSY_IDLER_GEAR_LOWER,3623
99SG3414,ASSY_IDLER_GEAR_UPPER,3623
99SG3415,SUB ASSY IDLER GEAR - GEN 2 LOP,1563
99SG3416,ASSY_CAMSHAFT_GEAR_TIER4_HEILCAL,4458
99SG3418,HIGH PRESSURE PIPE ASSY-1,231
99SG3419,HIGH PRESSURE PIPE ASSY-2,231
99SG3420,HIGH PRESSURE PIPE ASSY-3,274
99SG3421,PIPE_LEAK_OFF_ASSEMBLY,288
99SG3423,PIPE_LEAK_OFF_ASSEMBLY,191
99SG3425,PIPE ASSY - 2 (MAIN LEAK OFF FIP TO OVER FLOW),183
99SG3427,PIPE_FUEL_INJECTION_PUMP_TO_FUEL_TANK,419
99SG3428,PIPE ASSY FIP TO TANK,278
99SG3438,PIPE_TURBO_CHARGER_OIL_DRAIN,737
99SG3439,ASSEMBLY LUBE OIL PUMP (WITH SHOULDER SHAFT - FLAT MILLING),8187
99SG3446,"CYLINDER HEAD - MAJOR KIT (CONSITS OF CYLINDER HEAD, PLUG,VALVE INLET&EXHAUST,GUIDE EXHAUST & INLET,SEAL,SPRING INLET & EXHAUST,CAPVALVE& COTTER VALVE) FOR SJ327   ENGINE TO LIST NO:1806",31934
99SG3451,COVER_TIMING_CASE_ASSEMBLY,3241
99SG3452,ASSY- CAM SHAFT WITH TACHO PIN AND BALL,2816
99SG3453,"JOINTS&GASKETS SUMP KIT FOR SJ327TAA(G) (INCLUDES-6,11,13&14)",226
99SG3455,JOINS&GASKETS MAJOR KIT FOR SJ327TAA(G) (INCLUDES - 1 TO 23),2263
99SG3457,JOINTS&GASKETS MAJOR KIT FOR SJ327T(G) ENGINE (INCLUDES - 1 TO 23)TO LIST NO:1386/1387,2258
99SG3459,PIPE HIGH PRESSURE ASSY KIT FOR  SJ327T(G) (INCLUDES - 99SG3335+99SG3336+99SG3337),707
99SG3464,DIPSTICK TUBE,345
99SG3465,FIP OVER FLOW PIPE,287
99SG3497,COOLING_JET_PISTON,566
99SG3501,PIPE ASSY -  BLOCK TO OIL COOLER,573
99SG3502,WATER PUMP ASSY,3868
99SG3509,OIL FILLER PIPE ASSEMBLY,765
99SG3510,PIPE,591
99SG3511, PIPE ASSY - OIL COOLER TO WATER PUMP,495
99SG3520,CYLINDER HEAD MAJOR KIT FOR SJV326 TO LIST NO.7085,41145
99SG3521,PISTON ASSEMBLY-SJV326,2319
99SG3522,PISTON RINGS ASSEMBLY-SJV326,1354
99SG3523,HIGH PR.PIPE ASSEMBLY KIT-SJV326,1769
99SG3524,JOINTS&GASKET FOR TOP OVERHAUL KIT-SJV326,2443
99SG3525,JOINTS&GASKET FOR BOTTOM OVERHAUL KIT-SJV326,569
99SG3526,JOINTS&GASKET FOR SUMP KIT-SJV326,39
99SG3527,CRANKSHAFT THRUST WASHER ASSY -STD SET.,450
99SG3529,MAIN BEARING STD SIZE SET,1525
99SG3533,CON ROD BIG END BEARING STD SET,1157
99SG3537,JOINTS&GASKET MAJOR OVERHAUL KIT FOR SJV326 ENGINE (INCLUDES-99SG3524+99SG3525+99SG3526),2791
99SG3541,CRANKSHAFT AND BALANCE WEIGHT ASSY,24992
99SG3552,PIPE_FUEL_INJECTOR_1,264
99SG3553,PIPE_FUEL_INJECTOR_2,264
99SG3554,PIPE_FUEL_INJECTOR_3,264
99SG3560,PUMP_WATER_ASSEMBLY,3946
99SG3589,BLOCK_CYLINDER_ASSEMBLY,70481
99SG3590,PISTON ASSEMBLY FOR SJV326 ENGINE,3049
99SG3592,HIGH PR.PIPE ASSY KIT FOR SJV326 ENGINE(INCLUDE-99SG3262+99SG3263+99SG6264),3660
99SG3593,JOINTS&GASKETS - TOP OVERHAUL KIT(INCLUDES-1 TO 6),2803
99SG3594,JOINTS & GASKETS - BOTTOM OVERHAUL KIT (INCLUDES - 7 TO 12),277
99SG3595,JOINTS & GASKET MAJOR OVERHAUL KIT FOR SJV326 ENGINE (INCLUDES-99SG3593+99SG3594+99SG3526),3214
99SG3620,PUMP_WATER_ASSEMBLY,3646
99SG3637,FLYWHEEL_ASSEMBLY,18978
99SG3642,"JOINTS&GASKETS FOR TOP KIT-(INCLUDES-1 TO 4,19,20,23&24) TO TSJ327E ENGINE TO LIST NO.7123",1437
