Part Number,Parts Description,Part Category,NDP,MRP,HSN Code,CGST Tax,SGST Tax,IGST Tax
3001867S01,CARRIAGE BOLT,Fasteners,247.69,354,84839000,9,9,18
3001868S01,CARRIAGE BOLT,Fasteners,357.39,511,73181500,9,9,18
3001869S01,HEXAGON FLANGE BOLT,Fasteners,54.15,77,73181500,9,9,18
3001870S01,HEX CAP SCREW,Implements,61,87,73181500,9,9,18
3001871S01,HOSE INSERT,Implements,782.76,1030,84339000,6,6,12
3001872S01,VALVE,Implements,28754.22,41077,84818030,9,9,18
3001873S01,BULB,Implements,760.98,1001,84339000,6,6,12
3001875S01,PINION GEAR,Implements,22084.1,29058,84339000,6,6,12
3001876S01,PINION FRAME,Implements,57460.54,75606,84339000,6,6,12
3001877S01,CAM,Implements,5175.63,6810,84339000,6,6,12
3001878S01,PINION SHAFT,Implements,1290.86,1699,84339000,6,6,12
3001880S01,RUBBER PAD,Implements,534.6,703,84339000,6,6,12
3001881S01,PIPE NIPPLE,Implements,294.36,387,84339000,6,6,12
3001882S01,TEE FITTING,Implements,1814.88,2593,73079910,9,9,18
3001883S01,CAP,Implements,634.96,835,84339000,6,6,12
3001883X01,FENDER BOLT (NEW)(212163180-2500),Fasteners,87.32,148,73181500,9,9,18
3001884S01,ROUND HEAD SQUARE NECK CARRIAGE BOLT,Fasteners,63.43,91,73181500,9,9,18
3001885S01,ROUND HEAD SQUARE NECK CARRIAGE BOLT,Fasteners,77.03,110,84839000,9,9,18
3001886S01,HEXAGON FLANGE BOLT,Fasteners,47.31,68,73181500,9,9,18
3001887S01,HEX WASHER HEAD MACHINE SCREW,Fasteners,33.63,48,73181500,9,9,18
